conditional_slope,method,score_slope_mean,score_slope_std,directional_gain_mean,directional_gain_std,volatility_mean,volatility_std,derivative_bound_mean,derivative_bound_std,jacobian_bound_mean,jacobian_bound_std,residual_bound_mean,residual_bound_std,separated_bound_mean,separated_bound_std,mean_abs_model_derivative_mean,mean_abs_model_derivative_std,mean_abs_remainder_mean,mean_abs_remainder_std,jacobian_bound_hold_rate,residual_bound_hold_rate,derivative_bound_hold_rate
0.0,dtr,0.0008216727473539561,0.01231728773432557,0.00015087356746260963,0.00019808385131525976,6.042939413822531e-08,1.159117227527064e-07,7.33671238574679e-08,1.4052343112546678e-07,6.114675374261483e-05,8.028036110277985e-05,6.114675374261483e-05,8.028036110277985e-05,0.00012229350748522966,0.0001605607222055597,0.0006044459394899033,0.0005993143958834415,0.0,0.0,1.0,1.0,1.0
0.0,standard,0.04826686653636477,0.7380359521974509,0.5415797864738771,0.7306755392379469,0.009203979867532238,0.023410167715274596,0.012939566954594623,0.033093013247584256,0.21949402000919108,0.2961316419763688,0.21949402000919108,0.2961316419763688,0.43898804001838215,0.5922632839527376,0.19237479084455603,0.2530939185508343,0.0,0.0,1.0,1.0,1.0
0.5,dtr,0.00911278307449199,0.011785058282864969,0.00022054153810596667,0.0002715600265685529,0.0019379162333312682,0.0007896783229614986,0.0024013689058332613,0.0009796210848686759,8.938211873279313e-05,0.00011005913328748189,0.00317984128437314,0.001299741067006214,0.004903107538515202,0.001993787538416097,0.0022010168679777687,0.0018729119946771173,0.14734281537433977,0.030458460362989763,0.0,1.0,1.0
0.5,standard,0.5345231887041668,0.7057140949704254,0.7787670992639975,1.0360312967160292,0.003847447750395284,0.006184325542786001,0.005401437269892375,0.009661239177003747,0.3156224171165527,0.4198876690950965,0.4028609734270588,0.5175094592559808,0.6436008796544932,0.8495464557829179,0.12819352242169893,0.15915851683755827,0.22260015991757645,0.09914983745799762,0.95,1.0,1.0
1.0,dtr,0.016894125993350665,0.011844530787123338,0.00042430147355064805,0.00045313314638375667,0.0042842295450944414,0.001734122477633269,0.005961868440189494,0.0024400012955314494,0.00017196291008535894,0.00018364794695671576,0.00752897057887392,0.0029879733116239646,0.011935471377677658,0.004948612730192197,0.005100916528596194,0.0034011306397414265,0.21750602910851818,0.04593545612468644,0.0,1.0,1.0
1.0,standard,1.001970663765642,0.7227049670146968,1.5210246557011982,1.8470468531812965,0.011158331718680218,0.003379586230383627,0.013436417399328464,0.0034756755800272217,0.6164480738592988,0.7485798936287372,0.8344954587372568,0.9600462595300555,1.268777537868765,1.522039364691613,0.09985146648272172,0.1178354450780449,0.39066483628614895,0.1413802398634406,0.96,1.0,1.0
1.5,dtr,0.02496340140227495,0.011930725710312255,0.0007640902033860616,0.0006257233306734319,0.005364169778074241,0.002214412555046399,0.009102192546397565,0.0038847203432215015,0.00030967409526636155,0.00025359611398583225,0.011549499565569561,0.004523725665619249,0.01817980253766963,0.00783962022274374,0.009063989013600117,0.004872959163293642,0.24383918133692264,0.0539907298200943,0.0,1.0,1.0
1.5,standard,1.5036029943966105,0.7406785679331249,2.803940658343963,2.4881840981375576,0.02027975781302216,0.003950393283781082,0.024879215925242247,0.004223260219381689,1.1363943454651448,1.0084230317733602,1.506418174796293,1.2720887848577505,2.3314234274267274,2.0467891644123486,0.10084673031292633,0.08998524163907118,0.4927649407051256,0.14340489999870662,0.99,1.0,1.0
2.0,dtr,0.03290436559597711,0.010924940351325471,0.0012008580537369417,0.0007449233311704371,0.005508334347955093,0.00219335135013845,0.011775928512912759,0.004983544451739512,0.00048668943756424395,0.0003019060545479274,0.015078572116489159,0.005707218419136368,0.02357937462979056,0.010034088777548628,0.013371368963543195,0.005531077274674076,0.2502154713210673,0.056026948411398395,0.0,1.0,1.0
2.0,standard,2.0240917190408756,0.7221015005136017,4.613163558363403,3.141812103919809,0.026297913105748482,0.0014593175256784187,0.035858037568331766,0.002197719703540297,1.869644768276315,1.2733284846039143,2.3928402538186675,1.5665187307515929,3.8190588310608096,2.5794708646798323,0.10640114998050708,0.07157123185813771,0.5474648263439331,0.1313957908450048,1.0,1.0,1.0
