block,block_start,lambda,seed,method,model,risk,speed,gain,hazard,n_obs
13,2005-01-01,0.003,2,dtr,dtr,0.2541438937187195,1.4250354766845703,0.037102580070495605,0.0753451780904575,224
14,2005-01-12,0.003,2,dtr,dtr,0.6945529580116272,1.3407779932022095,0.005074396729469299,0.009122170066543605,279
15,2005-01-26,0.003,2,dtr,dtr,0.3192148804664612,2.018606662750244,0.08779046684503555,0.3577262115702829,296
16,2005-02-11,0.003,2,dtr,dtr,0.20750533044338226,1.3082793951034546,0.05867902934551239,0.10043473180393059,281
17,2005-02-23,0.003,2,dtr,dtr,0.4162271320819855,0.8407312631607056,0.07507800310850143,0.053067314127798554,331
18,2005-03-09,0.003,2,dtr,dtr,0.36799585819244385,2.808095932006836,0.031067634001374245,0.24498080700528668,320
19,2005-03-23,0.003,2,dtr,dtr,0.16705547273159027,1.157148838043213,0.16057990491390228,0.21501543821326394,281
0,2004-06-30,0.003,3,dtr,dtr,0.37017688155174255,0.0,0.0,0.0,332
1,2004-07-14,0.003,3,dtr,dtr,0.4729257822036743,0.589765727519989,0.054359398782253265,0.018907482504367325,213
2,2004-07-31,0.003,3,dtr,dtr,0.7029082179069519,2.501310348510742,0.033181581646203995,0.20760233944246018,195
3,2004-08-11,0.003,3,dtr,dtr,0.5869170427322388,1.4069782495498657,0.012069741263985634,0.023893112491450208,220
4,2004-08-25,0.003,3,dtr,dtr,0.4449210464954376,1.578414797782898,0.12498626112937927,0.3113899303026484,166
5,2004-09-08,0.003,3,dtr,dtr,0.43822774291038513,1.030644178390503,0.1616891771554947,0.1717506778879805,237
6,2004-09-22,0.003,3,dtr,dtr,0.22952765226364136,1.0603092908859253,0.03344360366463661,0.03759916513665798,201
7,2004-10-07,0.003,3,dtr,dtr,0.1740112006664276,2.3673222064971924,0.01205332763493061,0.06754943265365938,116
8,2004-10-20,0.003,3,dtr,dtr,0.2322496622800827,0.7426848411560059,0.17420074343681335,0.09608578077133735,322
9,2004-11-03,0.003,3,dtr,dtr,0.24215908348560333,4.305335521697998,0.03919558227062225,0.7265259403606475,305
10,2004-11-17,0.003,3,dtr,dtr,0.8033303022384644,1.8594954013824463,0.19694000482559204,0.6809640134059012,328
11,2004-12-01,0.003,3,dtr,dtr,0.33442988991737366,1.149946928024292,0.19373013079166412,0.25618445074381363,307
12,2004-12-17,0.003,3,dtr,dtr,1.3485397100448608,1.5976122617721558,0.0183483324944973,0.046831640547422414,237
13,2005-01-01,0.003,3,dtr,dtr,0.284866601228714,1.4250354766845703,0.03937254473567009,0.07995485460437257,224
14,2005-01-12,0.003,3,dtr,dtr,0.7559558749198914,1.3407779932022095,0.01655212603509426,0.02975551907049751,279
15,2005-01-26,0.003,3,dtr,dtr,0.4360065460205078,2.018606662750244,0.08984909951686859,0.3661146721079123,296
16,2005-02-11,0.003,3,dtr,dtr,0.25359928607940674,1.3082793951034546,0.0729568749666214,0.12487262063215941,281
17,2005-02-23,0.003,3,dtr,dtr,0.4152030050754547,0.8407312631607056,0.07595378905534744,0.05368634508261528,331
18,2005-03-09,0.003,3,dtr,dtr,0.47810736298561096,2.808095932006836,0.0331098772585392,0.26108471762877494,320
19,2005-03-23,0.003,3,dtr,dtr,0.14462842047214508,1.157148838043213,0.12731148302555084,0.17046923976568762,281
0,2004-06-30,0.003,4,dtr,dtr,0.289447546005249,0.0,0.0,0.0,332
1,2004-07-14,0.003,4,dtr,dtr,0.36405518651008606,0.589765727519989,0.054006319493055344,0.01878467319019692,213
2,2004-07-31,0.003,4,dtr,dtr,0.5694210529327393,2.501310348510742,0.021943386644124985,0.13728997162291495,195
3,2004-08-11,0.003,4,dtr,dtr,0.47902241349220276,1.4069782495498657,0.010435149073600769,0.020657293742041925,220
4,2004-08-25,0.003,4,dtr,dtr,0.34477511048316956,1.578414797782898,0.11527977138757706,0.287207247047131,166
5,2004-09-08,0.003,4,dtr,dtr,0.3091748058795929,1.030644178390503,0.18574455380439758,0.1973029586218142,237
6,2004-09-22,0.003,4,dtr,dtr,0.18590568006038666,1.0603092908859253,0.03442707285284996,0.03870483606809378,201
7,2004-10-07,0.003,4,dtr,dtr,0.14980831742286682,2.3673222064971924,0.01782703585922718,0.0999065315952618,116
8,2004-10-20,0.003,4,dtr,dtr,0.19760477542877197,0.7426848411560059,0.2048862725496292,0.11301132864797993,322
9,2004-11-03,0.003,4,dtr,dtr,0.21661552786827087,4.305335521697998,0.037395887076854706,0.6931669451048348,305
10,2004-11-17,0.003,4,dtr,dtr,0.9179747104644775,1.8594954013824463,0.16368679702281952,0.5659836270488992,328
11,2004-12-01,0.003,4,dtr,dtr,0.2652941346168518,1.149946928024292,0.1754365861415863,0.23199347090404124,307
12,2004-12-17,0.003,4,dtr,dtr,0.9995081424713135,1.5976122617721558,0.010877784341573715,0.027764075367052433,237
13,2005-01-01,0.003,4,dtr,dtr,0.24181731045246124,1.4250354766845703,0.03484151512384415,0.07075357446731709,224
14,2005-01-12,0.003,4,dtr,dtr,0.7134341597557068,1.3407779932022095,0.0037669448647648096,0.006771782641297635,279
15,2005-01-26,0.003,4,dtr,dtr,0.24458076059818268,2.018606662750244,0.08217985928058624,0.33486426014472764,296
