dataset,basis,deploy_mse_mean,deploy_mse_std,volatility_mean,volatility_std,terminal_risk_mean,mean_gain_mean,selected_lambda,max_principal_angle_deg,deploy_drift_energy_ratio,mse_wins_vs_standard,volatility_wins_vs_standard
Air Quality,oracle_deployment,0.43245209455490113,0.058297433598845524,0.06852251252657679,0.019769822234211917,0.16104124933481212,0.0790669146366417,0.003,0.01978234015405178,0.9626270532608032,9.0,9.0
Air Quality,prospective_predeployment,0.44537258744239805,0.06661121131329889,0.07369863834599474,0.023483895648630917,0.16309017837047574,0.07947486017365005,0.003,59.19520950317383,0.9071710705757141,7.0,4.0
Air Quality,random_control,0.46039019227027894,0.07182643214045507,0.07869849389911567,0.02840001060966655,0.16630458682775492,0.07903714179992673,0.003,65.93535614013672,0.6569745540618896,2.0,2.0
Air Quality,standard,0.44944866597652433,0.06910838168021695,0.07311355136635242,0.022851000488204324,0.16531683504581446,0.0791064793907571,0.0,,,,
Tetouan,oracle_deployment,68239920.6,48681138.87352908,3071490442170779.0,4320626314689134.0,14520384.4,0.012837062535497,0.01,0.0,0.9667641520500183,8.0,8.0
Tetouan,prospective_predeployment,68587029.2,62933352.62823057,3602970136092772.0,7023397462616134.0,14985116.5,0.013808335278493612,0.01,16.273887634277344,0.9245811700820923,8.0,8.0
Tetouan,random_control,67775803.0,68620963.63695116,3688293096692834.5,7270157666490022.0,14890688.2,0.01630798204375116,0.01,87.66600799560547,0.17668357491493225,9.0,9.0
Tetouan,standard,107736060.4,111430596.98601323,1.069473052436166e+16,1.6565410220352938e+16,15688194.2,0.02437398486266216,0.0,,,,
