conditional_slope,method,penalty_lambda,seed,intercept,score_slope,directional_gain,volatility,derivative_bound,jacobian_bound,residual_bound,separated_bound,mean_abs_model_derivative,mean_abs_remainder,jacobian_bound_holds,residual_bound_holds,derivative_bound_holds
0.0,dtr,0.5,0,1.140722430862677,-0.004750115451907632,2.2563596806451647e-05,5.063312046350351e-09,6.127414528445927e-09,9.144681342632615e-06,9.144681342632615e-06,1.828936268526523e-05,0.0002458702322670937,0.0,True,True,True
0.0,dtr,0.5,1,0.8250853131327492,-0.010825037360815418,0.00011718143386304964,5.682749602256419e-08,6.881958517595325e-08,4.749184631964205e-05,4.749184631964205e-05,9.49836926392841e-05,0.0008236465903114254,0.0,True,True,True
0.0,dtr,0.5,2,0.8998001755751985,0.01344327396805579,0.00018072161498020647,1.8353382528260526e-08,2.235389357796251e-08,7.324371175819744e-05,7.324371175819744e-05,0.00014648742351639488,0.00046776699583052107,0.0,True,True,True
0.0,dtr,0.5,3,1.0171706910775145,0.006243411924608503,3.898019246034366e-05,2.749865225907587e-10,3.388490495507763e-10,1.5798076954752605e-05,1.5798076954752605e-05,3.159615390950521e-05,5.716361312899708e-05,0.0,True,True,True
0.0,dtr,0.5,4,1.140738271909348,0.0030987882446698875,9.602488585304283e-06,2.401894453811487e-09,2.906145740448476e-09,3.89174203750027e-06,3.89174203750027e-06,7.78348407500054e-06,0.00016934691958669652,0.0,True,True,True
0.0,dtr,0.5,5,0.9392935813903289,-0.02594985243306497,0.000673394841297848,6.857141307656977e-08,8.503871572954024e-08,0.00027291664951576864,0.00027291664951576864,0.0005458332990315373,0.0009022515961131422,0.0,True,True,True
0.0,dtr,0.5,6,0.8623173197992237,-0.017698846998548293,0.00031324918507802195,1.0504519718628162e-07,1.2756627753115694e-07,0.00012695511282841165,0.00012695511282841165,0.0002539102256568233,0.001119485735205973,0.0,True,True,True
0.0,dtr,0.5,7,0.900072130217974,0.004239950690585913,1.7977181858599964e-05,2.2259183459548246e-09,2.694424340150519e-09,7.285877377867641e-06,7.285877377867641e-06,1.4571754755735282e-05,0.0001630177126335393,0.0,True,True,True
0.0,dtr,0.5,8,1.057575610218596,0.005757719434211902,3.3151333083101426e-05,1.6723873537032885e-09,2.027514073110565e-09,1.343572922920491e-05,1.343572922920491e-05,2.687145845840982e-05,0.00014127070428333148,0.0,True,True,True
0.0,dtr,0.5,9,1.0165730440857037,-0.01762746769623244,0.00031072761738171824,8.845083009041329e-11,5.1037587125915e-10,0.00012593315993391656,0.00012593315993391656,0.0002518663198678331,6.149279682554901e-05,0.0,True,True,True
