lambda,n_seeds,val_mse_mean,val_directional_gain_mean,deploy_mse_mean,deploy_mse_std,deploy_mse_wins_vs_standard,deploy_mse_mean_diff_vs_standard,volatility_mean,volatility_std,volatility_wins_vs_standard,volatility_mean_diff_vs_standard,mean_gain_mean,mean_gain_std,mean_gain_wins_vs_standard,mean_gain_mean_diff_vs_standard,terminal_risk_mean,terminal_risk_std,terminal_risk_wins_vs_standard,terminal_risk_mean_diff_vs_standard
0.003,10,0.515467643737793,0.04112901340270859,0.43245209455490113,0.058297433598845504,9,-0.016996571421623242,0.06852251252657679,0.019769822234211917,9,-0.004591038839775619,0.0790669146366417,0.008456815543923224,6,-3.9564754115402335e-05,0.16104124933481212,0.02790800227640999,7,-0.004275585711002355
0.01,10,0.5322993457317352,0.032094574354845876,0.4247999370098114,0.04294279378878495,9,-0.024648728966712947,0.07161562764214958,0.021312664870580252,6,-0.0014979237242028203,0.079628703885246,0.007520684890059306,4,0.0005222244944889084,0.15211079493165014,0.019094136199270945,8,-0.013206040114164357
0.03,10,0.5575141489505768,0.02396169470301985,0.42683311104774474,0.047090353795154645,8,-0.022615554928779612,0.07239546977628017,0.020766104208420184,5,-0.000718081590072251,0.07712635184638199,0.00574772732461636,8,-0.0019801275443751196,0.14922879785299298,0.01826215707045901,8,-0.0160880371928215
0.08,10,0.5736118108034134,0.01465361399897209,0.4464038580656052,0.04120718766352093,5,-0.0030448079109191895,0.07913751544186162,0.021036988420460593,4,0.006023964075509222,0.07292264278745272,0.0058589307789989374,9,-0.00618383660330438,0.14298952892422673,0.013543776148285919,8,-0.022327306121587752
