lambda,seed,method,model,val_mse,val_directional_gain,deploy_mse,volatility,initial_risk,terminal_risk,mean_gain,mean_hazard,max_hazard,subspace,source
0.08,0,dtr,dtr,0.27039533853530884,0.12640835005661538,0.4139060378074646,0.10692325518850794,0.21310976147651672,0.29323601722717285,0.04749169497517869,0.14086800001705085,0.9997199962292432,all_features_k2,subspace_ablation
0.08,1,dtr,dtr,0.3980635404586792,0.1596181425554999,0.4018005430698395,0.08559722728054163,0.29225438833236694,0.1732199788093567,0.04734188108704984,0.12080356131973284,0.809250036707691,all_features_k2,subspace_ablation
0.08,2,dtr,dtr,0.38847145438194275,0.15444731876767914,0.520395040512085,0.0899717988516146,0.3710077404975891,0.17566290497779846,0.04925569437909871,0.12216279899791604,0.611024539945232,all_features_k2,subspace_ablation
0.08,3,dtr,dtr,0.3793880045413971,0.1243024546524574,0.5423985123634338,0.18061975914907918,0.299883097410202,0.193746879696846,0.04325632734689862,0.13345356362351385,0.9897237326074663,all_features_k2,subspace_ablation
0.08,4,dtr,dtr,0.2901739776134491,0.10917116691326273,0.37852102518081665,0.0694603937955198,0.2461887001991272,0.20511266589164734,0.04596189833828248,0.10863270254157456,0.6322943157517122,all_features_k2,subspace_ablation
0.08,5,dtr,dtr,0.3976031541824341,0.1355194141124857,0.5240966081619263,0.10334589759744017,0.33309051394462585,0.41918250918388367,0.03451271064695902,0.09709755482235961,0.541998083373857,all_features_k2,subspace_ablation
0.08,6,dtr,dtr,0.5238853693008423,0.13650559228042075,0.6375927925109863,0.1400290558267335,0.4607892334461212,0.20461934804916382,0.04775137933902442,0.12087177022033749,0.7418243357283448,all_features_k2,subspace_ablation
0.08,7,dtr,dtr,0.2733308672904968,0.09888926538927802,0.47251272201538086,0.12615352654206066,0.24300986528396606,0.16805142164230347,0.04123241703491658,0.11906514113035456,0.8176935356414364,all_features_k2,subspace_ablation
0.08,8,dtr,dtr,0.37134653329849243,0.12771032925309805,0.4789348542690277,0.11246738829319072,0.3409230709075928,0.17779766023159027,0.044409035978605974,0.11983594583133379,0.7189620905290872,all_features_k2,subspace_ablation
0.08,9,dtr,dtr,0.41586798429489136,0.14877971287431388,0.47698673605918884,0.1025826075415633,0.3187345862388611,0.15914778411388397,0.04159524233546108,0.11523843654576112,0.713736882332883,all_features_k2,subspace_ablation
0.0,0,standard,standard,0.576192319393158,0.2773759644607018,0.4578133225440979,0.08978220097967829,0.4284462034702301,0.15107622742652893,0.08612318128580228,0.1926075782898522,0.8977176161331512,all_features_k2,subspace_ablation
0.0,1,standard,standard,0.5339024662971497,0.29216887704257305,0.4437616765499115,0.08649754307718685,0.3633093535900116,0.17603157460689545,0.08767702484037727,0.21203363552132476,0.7907218189751611,all_features_k2,subspace_ablation
0.0,2,standard,standard,0.5773881673812866,0.24604526388234105,0.5285694599151611,0.10246372028891153,0.46604079008102417,0.17984828352928162,0.08561341818422079,0.19299958318535404,0.7848976348693673,all_features_k2,subspace_ablation
