dataset_key,dataset,seed,block,block_order,risk,s2,gain,h_raw,risk_prev,risk_next,abs_change_same,sq_change_same,abs_change_next,sq_change_next,h_roll2,h_roll3,log_s2,log_gain,log_h,log_h_roll2,log_h_roll3
air_quality,Air Quality,0,0,0,0.4651822447776794,,,,,0.6486152410507202,,,0.18343299627304083,0.03364766412170541,,,,,,,
air_quality,Air Quality,0,1,1,0.6486152410507202,0.3478236133571819,0.090204894542694,0.031375392362343366,0.4651822447776794,1.1805033683776855,0.18343299627304083,0.03364766412170541,0.5318881273269653,0.2829049799913861,,,-1.0560597858698284,-2.405671590151897,-3.461731376021725,,
air_quality,Air Quality,0,2,2,1.1805033683776855,6.2565534595669305,0.048167984932661,0.30136557277080794,0.6486152410507202,0.937170684337616,0.5318881273269653,0.2829049799913861,0.24333268404006958,0.05921079512214433,0.16637048256657566,,1.833629467930906,-3.0330606916073464,-1.1994312236764404,-2.330581299849083,
air_quality,Air Quality,0,3,3,0.937170684337616,1.9795877947064036,0.0050694551318883,0.01003543150489782,1.1805033683776855,0.6176508665084839,0.24333268404006958,0.05921079512214433,0.3195198178291321,0.10209291398556175,0.1557005021378529,0.11425879887934971,0.6828886385418343,-5.28452193601256,-4.601633297470725,-2.900532260573583,-3.0875986323896303
air_quality,Air Quality,0,4,4,0.6176508665084839,2.4913932738600266,0.1585568636655807,0.395027503660769,0.937170684337616,0.6507856249809265,0.3195198178291321,0.10209291398556175,0.03313475847244263,0.0010979122190271084,0.2025314675828334,0.23547616931215823,0.9128421017235068,-1.841641988700902,-0.9287998869773951,-2.76521659222406,-2.2432881360415204
air_quality,Air Quality,0,5,5,0.6507856249809265,1.0622274224502348,0.1630271524190902,0.17317191190353173,0.6176508665084839,0.2855004370212555,0.03313475847244263,0.0010979122190271084,0.365285187959671,0.1334332685427322,0.2840997077821504,0.1927449490230662,0.06036804532819432,-1.8138385127838028,-1.7534704674556085,-1.3411351772165019,-2.4279678839679097
air_quality,Air Quality,0,6,6,0.2855004370212555,1.1242557923390137,0.0679856613278389,0.07643327354382136,0.6507856249809265,0.233230173587799,0.365285187959671,0.1334332685427322,0.052270263433456504,0.00273218043940294,0.12480259272367655,0.2148775630360407,0.11712129883687389,-2.6884584588519114,-2.5713371600150374,-2.162403813735323,-1.7512025048160138
air_quality,Air Quality,0,7,7,0.233230173587799,5.604214429374736,0.0066109956242144,0.03704943706975558,0.2855004370212555,0.3285852372646332,0.052270263433456504,0.00273218043940294,0.09535506367683419,0.009092588168813103,0.05674135530678847,0.09555154083903622,1.723518891371516,-5.019021012374312,-3.2955021210027957,-2.933419640508917,-2.5401032494911475
air_quality,Air Quality,0,8,8,0.3285852372646332,0.5515807732829217,0.2560966312885284,0.14125797792127776,0.233230173587799,0.1838407963514328,0.09535506367683419,0.009092588168813103,0.14474444091320038,0.020950953175274956,0.08915370749551667,0.08491356284495155,-0.5949669899360358,-1.3622004397502134,-1.9571674296862493,-2.6263347753445228,-2.608002236901361
air_quality,Air Quality,0,9,9,0.1838407963514328,18.535913954394573,0.0306134391576051,0.5674480740734615,0.3285852372646332,0.8203303813934326,0.14474444091320038,0.020950953175274956,0.6364895850419998,0.4051189918669371,0.3543530259973696,0.24858516302149827,2.9197101450387852,-3.4863161782489973,-0.5666060332102121,-1.2618867314482307,-1.9397585279664191
air_quality,Air Quality,0,10,10,0.8203303813934326,3.457723147762465,0.2584302127361297,0.8935801286588939,0.1838407963514328,0.2519959509372711,0.6364895850419998,0.4051189918669371,0.5683344304561615,0.32300402484192947,0.7305141013661778,0.534095393551211,1.2406103226804996,-1.3531295915512633,-0.11251926887076369,-0.3395626510404879,-0.8787642439224084
air_quality,Air Quality,0,11,11,0.2519959509372711,1.3223779372725062,0.2563477754592895,0.33898864253625083,0.8203303813934326,0.6536575555801392,0.5683344304561615,0.32300402484192947,0.40166160464286804,0.16133204464428363,0.6162843855975724,0.6000056150895354,0.2794315835330399,-1.3612202585342201,-1.0817886750011803,-0.597153971935972,-0.586971325694052
air_quality,Air Quality,0,12,12,0.6536575555801392,2.552364938964743,0.0043401201255619,0.011077570439379451,0.2519959509372711,0.2558231353759765,0.40166160464286804,0.16133204464428363,0.39783442020416265,0.15827222589918227,0.17503310648781514,0.4145487805448414,0.937020356420977,-5.439853252321565,-4.502832895900588,-2.7923107854508844,-1.899046946590844
air_quality,Air Quality,0,13,13,0.2558231353759765,2.0307261098096205,0.0449813790619373,0.09134486091631985,0.6536575555801392,0.7688669562339783,0.39783442020416265,0.15827222589918227,0.5130438208580017,0.26321396212057735,0.051211215677849656,0.14713702463065004,0.7083934186599171,-3.1015066734514773,-2.3931132547915603,-3.4479730753460744,-2.6592449418977764
