basis,dataset,deploy_mse,initial_risk,lambda,max_hazard,mean_gain,mean_hazard,method,seed,terminal_risk,val_directional_gain,val_mse,volatility
oracle_deployment,Air Quality,0.4495686590671539,0.4651822447776794,0.003,0.893580128658894,0.0856701982789673,0.1887123517880871,dtr,0,0.1430312991142273,0.1021558103890254,0.630606472492218,0.0859709722574521
oracle_deployment,Air Quality,0.4419654905796051,0.349092423915863,0.003,0.8320250006081684,0.0922507312847301,0.2221439911138544,dtr,1,0.1916140615940094,0.0600090569463269,0.5243172645568848,0.0889947834467477
oracle_deployment,Air Quality,0.4853796362876892,0.4218733012676239,0.003,0.7654255477327307,0.0835539700696244,0.1911752837402062,dtr,2,0.1670554727315902,0.0267718524768434,0.5441457033157349,0.0785667783553748
oracle_deployment,Air Quality,0.4574023187160492,0.3701768815517425,0.003,0.7265259403606475,0.0754651839844882,0.1865610967570183,dtr,3,0.144628420472145,0.0249001609868016,0.5035838484764099,0.0752264067374174
oracle_deployment,Air Quality,0.3807778656482696,0.289447546005249,0.003,0.6931669451048348,0.0682072820258326,0.1617507983277112,dtr,4,0.1521159708499908,0.0251870753436252,0.4076373875141144,0.0572489240075944
oracle_deployment,Air Quality,0.387682557106018,0.3240507543087005,0.003,0.7737279850212089,0.068487769155763,0.1724280498774351,dtr,5,0.1579290479421615,0.0307327241733156,0.4801771640777588,0.0496001880146321
oracle_deployment,Air Quality,0.5539730787277222,0.4842804968357086,0.003,0.7607047560357139,0.0902724633226171,0.204338431505699,dtr,6,0.2214814573526382,0.0493880156812996,0.6709389686584473,0.1006218486530392
oracle_deployment,Air Quality,0.3666397333145141,0.2704896926879883,0.003,0.837901496722344,0.0764293400337919,0.1938151895014117,dtr,7,0.1671099066734314,0.0505186804409684,0.3934560716152191,0.0435907531052407
oracle_deployment,Air Quality,0.4226267635822296,0.4237631261348724,0.003,0.8000329908757611,0.0747578458627686,0.1764079927054027,dtr,8,0.1271506994962692,0.0151619726213915,0.5842117071151733,0.0549989974585299
oracle_deployment,Air Quality,0.3785048425197601,0.3061094284057617,0.003,0.7580581181052742,0.0755743623478338,0.1851887960146544,dtr,9,0.1382961571216583,0.0264647849674882,0.4156018495559692,0.0504054732297396
oracle_deployment,Air Quality,0.4518885016441345,0.4835880100727081,0.01,0.8459044759998088,0.0884058346506208,0.1948717422508593,dtr,0,0.1360672861337661,0.0869659711574686,0.6798825263977051,0.1079946001090412
oracle_deployment,Air Quality,0.4428263306617737,0.3657011389732361,0.01,0.7570232276533663,0.0909801851026713,0.2139257066500344,dtr,1,0.1810282617807388,0.0500394578637747,0.5522996187210083,0.0978796444312605
oracle_deployment,Air Quality,0.4599669575691223,0.416675716638565,0.01,0.7571870003158385,0.0832167803309857,0.1901639686360023,dtr,2,0.1506299674510955,0.0213925230092015,0.5369417667388916,0.0793683422986342
oracle_deployment,Air Quality,0.4459798336029053,0.3739045262336731,0.01,0.7141608595279075,0.0738068202044814,0.184640100674746,dtr,3,0.1428356766700744,0.0169862081264627,0.5202620029449463,0.0781543467023096
oracle_deployment,Air Quality,0.3993589282035827,0.297911673784256,0.01,0.7630098685091037,0.0731567497365176,0.1752040101353953,dtr,4,0.1518412679433822,0.0186661451027311,0.4397456347942352,0.0616023635805905
oracle_deployment,Air Quality,0.3964470326900482,0.3478049039840698,0.01,0.7512723439296979,0.0675847893115133,0.1670682653312575,dtr,5,0.1550641804933548,0.0194231249135116,0.5194223523139954,0.0526990288586996
oracle_deployment,Air Quality,0.5045295357704163,0.453822523355484,0.01,0.6795398875586188,0.0864717016462236,0.1954579197961885,dtr,6,0.1807410717010498,0.0339350085833977,0.6499765515327454,0.085725297528363
oracle_deployment,Air Quality,0.3721923232078552,0.2947390377521515,0.01,0.8741051561732183,0.0791290980996564,0.1948526521716744,dtr,7,0.1648534387350082,0.0431383548111751,0.4311116635799408,0.0478289454045555
oracle_deployment,Air Quality,0.4029038846492767,0.4120062291622162,0.01,0.8107006415151615,0.0784985405392944,0.1862122667547407,dtr,8,0.1244124844670295,0.0132458926274858,0.5732307434082031,0.0551432145335794
oracle_deployment,Air Quality,0.371906042098999,0.3146522641181946,0.01,0.7441151325893944,0.0750365392304956,0.1834639164733599,dtr,9,0.1336343139410019,0.0171530573532499,0.4201205968856811,0.0497604929744624
