block,block_start,lambda,seed,method,model,risk,speed,gain,hazard,n_obs
15,2005-01-26,0.08,1,isotropic,isotropic,0.2883152365684509,2.018606662750244,0.04511426389217377,0.18383037805706742,296
16,2005-02-11,0.08,1,isotropic,isotropic,0.19533132016658783,1.3082793951034546,0.033078309148550034,0.05661666774173046,281
17,2005-02-23,0.08,1,isotropic,isotropic,0.35368984937667847,0.8407312631607056,0.04852796345949173,0.03430097464320505,331
18,2005-03-09,0.08,1,isotropic,isotropic,0.4002487063407898,2.808095932006836,0.028497451916337013,0.22471388608961285,320
19,2005-03-23,0.08,1,isotropic,isotropic,0.1550707221031189,1.157148838043213,0.10875989496707916,0.14562878517653496,281
0,2004-06-30,0.0,1,standard,standard,0.3633093535900116,0.0,0.0,0.0,332
1,2004-07-14,0.0,1,standard,standard,0.46581074595451355,0.589765727519989,0.06492885202169418,0.02258378792131944,213
2,2004-07-31,0.0,1,standard,standard,1.1517995595932007,2.501310348510742,0.058177318423986435,0.36398950285391923,195
3,2004-08-11,0.0,1,standard,standard,0.9711520671844482,1.4069782495498657,0.007894289679825306,0.015627439498058903,220
4,2004-08-25,0.0,1,standard,standard,0.44631636142730713,1.578414797782898,0.17478039860725403,0.43544670949268705,166
5,2004-09-08,0.0,1,standard,standard,0.4142194390296936,1.030644178390503,0.16940158605575562,0.17994301011498692,237
6,2004-09-22,0.0,1,standard,standard,0.24140194058418274,1.0603092908859253,0.054374054074287415,0.06113034524597238,201
7,2004-10-07,0.0,1,standard,standard,0.19944420456886292,2.3673222064971924,0.005534748081117868,0.03101791505915489,116
8,2004-10-20,0.0,1,standard,standard,0.26728948950767517,0.7426848411560059,0.2417249083518982,0.13333081187048337,322
9,2004-11-03,0.0,1,standard,standard,0.2477637678384781,4.305335521697998,0.04265890643000603,0.7907218189751611,305
10,2004-11-17,0.0,1,standard,standard,0.9240242838859558,1.8594954013824463,0.21653863787651062,0.7487306605705648,328
11,2004-12-01,0.0,1,standard,standard,0.3176860511302948,1.149946928024292,0.23048661649227142,0.3047904164859691,307
12,2004-12-17,0.0,1,standard,standard,0.808178722858429,1.5976122617721558,0.010270826518535614,0.02621489750009962,237
13,2005-01-01,0.0,1,standard,standard,0.2814019024372101,1.4250354766845703,0.06879080832004547,0.1396952905704252,224
14,2005-01-12,0.0,1,standard,standard,0.7839218974113464,1.3407779932022095,0.008678670972585678,0.015601522069359698,279
15,2005-01-26,0.0,1,standard,standard,0.20080718398094177,2.018606662750244,0.09262387454509735,0.37742125008249144,296
16,2005-02-11,0.0,1,standard,standard,0.1700272262096405,1.3082793951034546,0.0578598752617836,0.09903267178993536,281
17,2005-02-23,0.0,1,standard,standard,0.22736789286136627,0.8407312631607056,0.0769021213054657,0.0543566538725523,331
18,2005-03-09,0.0,1,standard,standard,0.4190274178981781,2.808095932006836,0.032207928597927094,0.2539724891679814,320
19,2005-03-23,0.0,1,standard,standard,0.17603157460689545,1.157148838043213,0.1397060751914978,0.18706551728537277,281
