dataset_key,dataset,target,score,score_label,spearman,n
tetouan_zone1_power,Tetouan,abs_change_same,log_h_roll2,Roll-2 log product,0.26829268292682934,40
tetouan_zone1_power,Tetouan,abs_change_same,log_h_roll3,Roll-3 log product,0.48120133481646277,30
tetouan_zone1_power,Tetouan,abs_change_next,s2,Drift $s_t^2$,-0.3389919943489011,40
tetouan_zone1_power,Tetouan,abs_change_next,gain,Gain $g_t$,0.32795497185741096,40
tetouan_zone1_power,Tetouan,abs_change_next,h_raw,Product $h_t$,0.2176360225140713,40
tetouan_zone1_power,Tetouan,abs_change_next,h_roll2,Roll-2 $h_t$,0.3045606229143492,30
tetouan_zone1_power,Tetouan,abs_change_next,h_roll3,Roll-3 $h_t$,0.33533834586466166,20
tetouan_zone1_power,Tetouan,abs_change_next,log_h,Log product,0.2176360225140713,40
tetouan_zone1_power,Tetouan,abs_change_next,log_h_roll2,Roll-2 log product,0.24849833147942155,30
tetouan_zone1_power,Tetouan,abs_change_next,log_h_roll3,Roll-3 log product,0.37293233082706767,20
tetouan_zone1_power,Tetouan,risk,s2,Drift $s_t^2$,-0.5958350843808308,50
tetouan_zone1_power,Tetouan,risk,gain,Gain $g_t$,0.16091236494597838,50
tetouan_zone1_power,Tetouan,risk,h_raw,Product $h_t$,-0.08600240096038414,50
tetouan_zone1_power,Tetouan,risk,h_roll2,Roll-2 $h_t$,-0.0525328330206379,40
tetouan_zone1_power,Tetouan,risk,h_roll3,Roll-3 $h_t$,0.03181312569521691,30
tetouan_zone1_power,Tetouan,risk,log_h,Log product,-0.08600240096038414,50
tetouan_zone1_power,Tetouan,risk,log_h_roll2,Roll-2 log product,-0.10900562851782367,40
tetouan_zone1_power,Tetouan,risk,log_h_roll3,Roll-3 log product,0.02246941045606229,30
tetouan_zone1_power,Tetouan,risk_next,s2,Drift $s_t^2$,-0.14528228329238618,40
tetouan_zone1_power,Tetouan,risk_next,gain,Gain $g_t$,-0.01707317073170732,40
tetouan_zone1_power,Tetouan,risk_next,h_raw,Product $h_t$,0.019136960600375237,40
tetouan_zone1_power,Tetouan,risk_next,h_roll2,Roll-2 $h_t$,0.13770856507230256,30
tetouan_zone1_power,Tetouan,risk_next,h_roll3,Roll-3 $h_t$,0.22255639097744356,20
tetouan_zone1_power,Tetouan,risk_next,log_h,Log product,0.019136960600375237,40
tetouan_zone1_power,Tetouan,risk_next,log_h_roll2,Roll-2 log product,0.13236929922135707,30
tetouan_zone1_power,Tetouan,risk_next,log_h_roll3,Roll-3 log product,0.23759398496240602,20
