method,lambda,seed,val_mse,val_directional_gain,deploy_mse,volatility,initial_risk,terminal_risk,mean_gain,mean_hazard,max_hazard,dataset,selection_val_mse,selection_val_directional_gain
dtr,0.003,4.5,0.515467643737793,0.04112901340270865,0.43245209455490113,0.06852251252657682,0.37044658958911897,0.16104124933481218,0.07906691463664174,0.18825219813314803,0.7841148909225578,air_quality,0.515467643737793,0.04112901340270865
isotropic,0.08,4.5,0.235380919277668,0.09518408438255047,0.41500682532787325,0.07691136931553907,0.16902814507484437,0.1771148309111595,0.0532613321224926,0.1284567026297608,0.572879392064088,air_quality,0.235380919277668,0.09518408438255047
standard,0.0,4.5,0.5185703635215759,0.04776595477400155,0.44944866597652433,0.07311355136635246,0.3756957173347473,0.16531683504581451,0.07910647939075716,0.18878525973326216,0.7799711708434987,air_quality,0.5185703635215759,0.04776595477400155
